Место,Город,1989 г.,ПОД,Год ПОД,Место ПОД,Изм.,Республика,Нынешнее назв.,Запись
69,Макеевка,430201,377829,2017,86,-17,Украинская ССР,Макеевка,Макеевка 436 430 99
70,Курск,424000,449000,2018,69,1,Российская СФСР,Курск,Курск 375 424 113
71,Чебоксары,420000,492000,2018,64,7,Российская СФСР,Чебоксары,Чебоксары 308 420 136
72,Каунас,418087,290068,2017,121,-49,Литовская ССР,Каунас,Каунас 370 423 114
73,Архангельск,416000,350000,2018,93,-20,Российская СФСР,Архангельск,Архангельск 385 416 108
74,Ашгабат,407000,912200,2016,30,44,Туркменская ССР,Ашхабад,Ашхабад 312 401 129
75,Калининград,401000,475000,2018,67,8,Российская СФСР,Калининград,Калининград 355 401 113
76,Грозный,400000,292000,2017,120,-44,Российская СФСР,Грозный,Грозный 375 400 106
77,Чимкент,380091,961279,2018,28,49,Казахская ССР,Шымкент,Чимкент 322 393 122
78,Винница,374304,372672,2017,87,-9,Украинская ССР,Винница,Винница 314 374 119
79,Самарканд,367031,529900,2018,59,20,Узбекская ССР,Самарканд,Самарканд 346' • 367 106
80,Чита,366000,349000,2018,94,-14,Российская СФСР,Чита,Чита 303 366 121
81,Могилёв,356900,381353,2018,84,-3,Белорусская ССР,Могилёв,Могилев 290 359 124
82,Курган,356000,318000,2018,108,-26,Российская СФСР,Курган,Курган 310 356 115
83,Севастополь,356000,437000,2018,71,12,Украинская ССР,Севастополь,Севастополь 301 356 118
84,Херсон,355379,293299,2017,119,-35,Украинская ССР,Херсон,Херсон 319 355 111
85,Улан-Удэ,353000,435000,2018,72,13,Российская СФСР,Улан-Удэ,Улан-Удэ 300 353 117
86,Владимир,350000,356000,2017,91,-5,Российская СФСР,Владимир,Владимир 296 350 118
87,Витебск,347400,377960,2018,85,2,Белорусская ССР,Витебск,Витебск 297 350 118
88,Симферополь,344000,342000,2018,97,-9,Украинская ССР,Симферополь,Симферополь 302 344 114
89,Смоленск,341000,330000,2018,103,-14,Российская СФСР,Смоленск,Смоленск 299 341 114
90,Горловка,338106,264505,2017,139,-49,Украинская ССР,Горловка,"Горловка 336 338 100,5"
91,Орёл,337000,319000,2017,106,-15,Российская СФСР,Орёл,Орел 305 337 н о
92,Сочи,337000,424000,2018,76,16,Российская СФСР,Сочи,Сочи 287 337 117
93,Семипалатинск,334112,347200,2018,96,-3,Казахская ССР,Семей,Серов 101 104 103
94,Павлодар,329681,334906,2018,102,-8,Казахская ССР,Павлодар,Павлодар 273 331 121
95,Усть-Каменогорск,322221,341064,2018,98,-3,Казахская ССР,Усть-Каменогорск,Усть-Каменогорск 274 324 118
96,Ставрополь,318000,433577,2017,74,22,Российская СФСР,Ставрополь,Ставрополь 258 318 123
97,Комсомольск-на-Амуре,315000,248000,2018,144,-47,Российская СФСР,Комсомольск-на-Амуре,Комсомольск-на-Амуре 264 315 119
98,Полтава,314740,289544,2018,123,-25,Украинская ССР,Полтава,Полтава 279 315 113
99,Саранск,312000,315000,2017,109,-10,Российская СФСР,Саранск,Саранск •263 312 119
100,Калуга,311000,341000,2018,99,1,Российская СФСР,Калуга,Калуга
101,Череповец,310000,319000,2017,106,-5,Российская СФСР,Череповец,Череповец 266 310 117
102,Наманган,305585,597400,2017,48,54,Узбекская ССР,Наманган,Наманган 227 306 135
103,Тамбов,305000,294000,2018,118,-15,Российская СФСР,Тамбов,Тамбов 270 305 113
104,Джамбул,303961,356461,2018,90,14,Казахская ССР,Тараз,Джамбул 264 307 116
105,Махачкала,302000,596000,2018,49,56,Российская СФСР,Махачкала,Махачкала 251 317 126
106,Белгород,300000,392000,2018,82,24,Российская СФСР,Белгород,Белгород 240 300 125
107,Орджоникидзе,300000,306000,2018,113,-6,Российская СФСР,Владикавказ,Орджоникидзе (Северо-Осетинская АССР) 279 300 108
108,Чернигов,296347,289689,2017,122,-14,Украинская ССР,Чернигов,Чернигов 238 296 124
109,Андижан,293227,425500,2017,75,34,Узбекская ССР,Андижан,Андижан 230 293 128
110,Житомир,292097,267038,2017,134,-24,Украинская ССР,Житомир,Житомир 244 292 120
111,Таганрог,292000,250000,2017,143,-32,Российская СФСР,Таганрог,Таганрог 276 292 105
112,Сумы,291264,267124,2017,133,-21,Украинская ССР,Сумы,Сумы 228 291 128
113,Черкассы,290340,281549,2017,124,-11,Украинская ССР,Черкассы,Черкассы 228 290 127
114,Дзержинск,285000,236000,2018,152,-38,Российская СФСР,Дзержинск,Дзержинск (Горьковская область) 257 285 111
115,Вологда,282000,313000,2017,110,5,Российская СФСР,Вологда,Вологда 237 283 120
116,Днепродзержинск,281925,237244,2017,151,-35,Украинская ССР,Каменское,Днепродзержинск 250 282 113
117,Гянджа,278000,330000,2015,103,14,Азербайджанская ССР,Гянджа,Гянджа 232 278 120
118,Кострома,278000,277000,2018,127,-9,Российская СФСР,Кострома,Кострома 255 278 109
119,Целиноград,277365,1035537,2018,23,96,Казахская ССР,Астана,Целиноград 232 277 120
120,Прокопьевск,274000,194000,2018,179,-59,Российская СФСР,Прокопьевск,Прокопьевск 266 274 103
121,Орск,271000,229000,2018,158,-37,Российская СФСР,Орск,Орск 246 271 110
122,Кировоград,269803,229632,2017,157,-35,Украинская ССР,Кропивницкий,Кировоград 237 270 114
123,Гродно,269800,370919,2018,88,35,Белорусская ССР,Гродно,Гродно 195 271 139
124,Волжский,269000,326000,2018,105,19,Российская СФСР,Волжский,Волжский 209 269 129
125,Петрозаводск,269000,279000,2018,126,-1,Российская СФСР,Петрозаводск,Петрозаводск 234 269 115
126,Петропавловск-Камчатский,269000,180000,2017,187,-61,Российская СФСР,Петропавловск-Камчатский,Петропавловск-Кймчатсмш 215 269 125
127,Ангарск,265000,226000,2018,160,-33,Российская СФСР,Ангарск,Ангарск 239 266 111
128,Черновцы,256644,265064,2017,138,-10,Украинская ССР,Черновцы,Черновцы 219 257 117
129,Братск,256000,229000,2018,158,-29,Российская СФСР,Братск,Братск 214 256 120
130,Брест,256000,347576,2018,95,35,Белорусская ССР,Брест,Брест 177 258 146
131,Актюбинск,253532,417471,2017,78,53,Казахская ССР,Актобе,Актюбинск 191 254 133
132,Рыбинск,251000,189000,2018,182,-50,Российская СФСР,Рыбинск,Рыбинск 239 251 105
133,Северодвинск,249000,183000,2018,185,-52,Российская СФСР,Северодвинск,Северодвинск 197 249 126
134,Сургут,248000,369000,2018,89,45,Российская СФСР,Сургут,Сургут 107 248 231
135,Стерлитамак,247000,280000,2018,125,10,Российская СФСР,Стерлитамак,Стерлитамак 220 247 112
136,Йошкар-Ола,242000,267000,2017,135,1,Российская СФСР,Йошкар-Ола,Йошкар-Ола 201 242 120
137,Нижневартовск,241000,275000,2017,129,8,Российская СФСР,Нижневартовск,Нижневартовск 109 241 2 2 2
138,Петропавловск,239606,216406,2017,170,-32,Казахская ССР,Петропавловск,Петропавловск 207 241 117
139,Хмельницкий,236938,268533,2018,132,7,Украинская ССР,Хмельницкий,Хмельницкий 172 237 138
140,Кременчуг,236495,220086,2018,166,-26,Украинская ССР,Кременчуг,Кременчуг 210 236 113
141,Нальчик,235000,239000,2018,149,-8,Российская СФСР,Нальчик,Нальчик 207 235 113
142,Кутаиси,234870,147900,2015,211,-69,Грузинская ССР,Кутаиси,Кутаиси 194 235 121
143,Бийск,233000,202000,2018,177,-34,Российская СФСР,Бийск,Бийск 212 233 110
144,Сыктывкар,232000,245000,2018,146,-2,Российская СФСР,Сыктывкар,Сыктывкар 183 232 127
145,Сумгаит,231000,336200,2015,101,44,Азербайджанская ССР,Сумгаит,Сумгаит 190 231 122
146,Новгород,229000,223000,2018,164,-18,Российская СФСР,Великий Новгород,Новгород 186 229 123
147,Ровно,227925,247356,2017,145,2,Украинская ССР,Ровно,Ровно 179 228 127
148,Шахты,226000,235000,2017,154,-6,Российская СФСР,Шахты,Шахты 209 226 108
149,Бухара,223934,272500,2015,131,18,Узбекская ССР,Бухара,Бухара 185 224 121
150,Кустанай,223558,239652,2018,148,2,Казахская ССР,Костанай,Кустанай 165 225 137
151,Бобруйск,220900,217546,2018,167,-16,Белорусская ССР,Бобруйск,Бобруйск 192 221 115
152,Ивано-Франковск,214021,233360,2017,156,-4,Украинская ССР,Ивано-Франковск,Иваново 465 481 104
153,Темиртау,213551,296523,2017,116,37,Казахская ССР,Темиртау,"Темиртау 213 212 99,7"
154,Ош,213000,267000,2017,135,19,Киргизская ССР,Ош,Ош 169 213 126
155,Подольск,209000,303000,2018,114,41,Российская СФСР,Подольск,Подольск 202 209 104
156,Златоуст,208000,167000,2018,197,-41,Российская СФСР,Златоуст,Златоуст 198 208 105
157,Каменск-Уральский,208000,169000,2018,195,-38,Российская СФСР,Каменск-Уральский,Каменск-Уральский 187 208 111
158,Благовещенск,206000,225000,2018,162,-4,Российская СФСР,Благовещенск,Благовещенск (Амурская область) 172 206 120
